timestamp,estimated_lat,estimated_lon,gt_lat,gt_lon,error_meters,inliers
1398.80748672,,,13.026786858517307,77.5633494114399,inf,4
1399.242926816,,,13.026786865086896,77.56334938195269,inf,4
1399.663896512,,,13.026786872959876,77.56334929985881,inf,5
1400.113035168,,,13.02678691268538,77.56334924015925,inf,4
1400.536501024,,,13.026787022019427,77.56334918316043,inf,4
1400.972539008,,,13.026787062053996,77.56334916684241,inf,4
1401.407709696,,,13.026787051763845,77.5633490690881,inf,5
1401.840616512,,,13.026787003162474,77.56334890390103,inf,4
1402.265261952,,,13.02678695492634,77.56334853512762,inf,4
1402.71029216,,,13.026786550404463,77.56334784473398,inf,4
1403.136977248,,,13.026786202766752,77.5633471992449,inf,5
1403.571435264,,,13.026786004765098,77.56334690323236,inf,4
1404.009579072,,,13.026786010751987,77.56334681627457,inf,4
1404.435293504,,,13.02678599934632,77.56334681026401,inf,5
1404.870070912,,,13.02678591523759,77.56334674237453,inf,4
1405.30412944,,,13.02678580686551,77.56334677516546,inf,4
1405.742287008,,,13.026785795797467,77.5633469981897,inf,4
1406.165918112,,,13.026785806794132,77.56334742354943,inf,4
1406.607139264,,,13.026785918778215,77.56334791882755,inf,4
1407.041513024,,,13.026785948279427,77.56334832675219,inf,5
