timestamp,estimated_lat,estimated_lon,gt_lat,gt_lon,error_meters,inliers
1398.80748672,13.019470633799603,77.56144979484247,13.026786858517307,77.5633494114399,839.1530166384855,7
1399.242926816,13.029708951378035,77.56470493671041,13.026786865086896,77.56334938195269,356.56547954064257,10
1399.663896512,13.029636709305498,77.56486045211263,13.026786872959876,77.56334929985881,356.6757999788742,8
1400.113035168,13.029707275751417,77.56469700244904,13.02678691268538,77.56334924015925,356.04386684322475,7
1400.536501024,13.029716337698524,77.56472292981692,13.026787022019427,77.56334918316043,358.11266496796054,8
1400.972539008,13.029676308965541,77.56461960765725,13.026787062053996,77.56334916684241,349.50856818493617,9
1401.407709696,13.029707312098573,77.56471863309575,13.026787051763845,77.5633490690881,357.00851935812113,8
1401.840616512,13.029726994652743,77.56474340760084,13.026787003162474,77.56334890390103,360.1302258118353,7
1402.265261952,13.021742516458618,77.57074391793756,13.02678695492634,77.56334853512762,978.0118266960834,8
1402.71029216,13.020256542605802,77.57074751449404,13.026786550404463,77.56334784473398,1081.598489538352,6
